epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.12640163098878696,0.12639289719353206,0.11638591117917305,0.11638461832724314
1,0.7522935779816514,0.75208700409066,0.6937212863705973,0.6918656080828536
2,0.7996941896024465,0.7988214909547896,0.7044410413476263,0.704489741130566
3,0.8302752293577982,0.8301820981924013,0.7120980091883614,0.7117576065880591
4,0.8399592252803262,0.8392618267577742,0.7029096477794793,0.7021258655167043
5,0.8603465851172273,0.8599647151572485,0.7289433384379785,0.7282202344834157
6,0.8603465851172273,0.8601260054192036,0.7411944869831547,0.7413578979863558
7,0.8307849133537207,0.8302619699136141,0.6921898928024502,0.6925682381633573
8,0.8353720693170235,0.8348403656775526,0.6768759571209801,0.6770821463808355
9,0.8669724770642202,0.8664742863191046,0.7258805513016845,0.7254415095682683
10,0.8338430173292558,0.8333834723018315,0.6937212863705973,0.6945817498416929
