epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.23955147808358818,0.23911000442358596,0.1546707503828484,0.15420900490190956
1,0.8644240570846076,0.8643683546889376,0.7503828483920367,0.7501279376746245
2,0.8970438328236493,0.896862593900215,0.777947932618683,0.778390744287526
3,0.9016309887869521,0.9016311024788848,0.7733537519142419,0.7741857062080193
4,0.9011213047910296,0.9008304304711585,0.7488514548238897,0.7485510090554388
5,0.908256880733945,0.9084190856876238,0.7580398162327718,0.7580124273259771
6,0.9077471967380224,0.9075665251127057,0.7611026033690659,0.7619656636215045
7,0.9072375127420998,0.9072672046995572,0.7687595712098009,0.7687940898364308
8,0.9159021406727829,0.9160006517771503,0.7718223583460949,0.7720494315951657
9,0.9108053007135576,0.9109024363202026,0.7718223583460949,0.772528787400766
10,0.9164118246687054,0.9162232514231917,0.7457886676875957,0.746532514576242
