epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.1799184505606524,0.17953221592649207,0.18376722817764166,0.18394394592292382
1,0.5840978593272171,0.5839025703765752,0.5803981623277182,0.579442756776935
2,0.7324159021406728,0.732121755322318,0.6860643185298622,0.6856436774657031
3,0.8374108053007135,0.8370410359771696,0.7672281776416539,0.7672524740354246
4,0.863914373088685,0.8633645115491465,0.7917304747320061,0.7924201302965728
5,0.8797145769622834,0.879564694019227,0.7733537519142419,0.7738429663987663
6,0.9057084607543323,0.9056749518648999,0.8070444104134763,0.807312375693451
7,0.9113149847094801,0.9112893520582468,0.8039816232771823,0.8042288550727557
8,0.918960244648318,0.9186743565688698,0.8055130168453293,0.8058264739751145
9,0.9245667686034659,0.9243926066806024,0.8116385911179173,0.8118220758343708
10,0.9250764525993884,0.9248726702205369,0.8101071975497703,0.8105847612157033
