epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.18246687054026503,0.18235470745595123,0.19601837672281777,0.19587128051093503
1,0.7227319062181448,0.7224932999356529,0.6952526799387443,0.6954397021071157
2,0.8557594291539246,0.855539928311828,0.7611026033690659,0.7607547340197964
3,0.882262996941896,0.8823113005717271,0.7871362940275651,0.7872289633486268
4,0.854230377166157,0.8538095332422063,0.7457886676875957,0.7456203324936757
5,0.745158002038736,0.7421923065627789,0.6140888208269525,0.6167463153545458
6,0.8389398572884812,0.8389147249546381,0.6952526799387443,0.6958370003524967
7,0.8506625891946993,0.8505278789128031,0.7120980091883614,0.7141820796563614
8,0.8751274209989807,0.8748519956111455,0.7366003062787136,0.7371831170245013
9,0.8858307849133538,0.8859573186178323,0.7442572741194488,0.7455348057222071
10,0.8837920489296636,0.8837412529447228,0.7503828483920367,0.7517974508928245
