epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.11824668705402651,0.11800623104429615,0.09800918836140889,0.09688973485767649
1,0.7777777777777778,0.7776338417116202,0.7519142419601837,0.7510835635987523
2,0.8929663608562691,0.8928876898694907,0.8361408882082695,0.8353308114397251
3,0.8827726809378186,0.8823630321651066,0.7978560490045942,0.7973179038808345
4,0.891946992864424,0.8918286946441387,0.8116385911179173,0.8116446535199836
5,0.754841997961264,0.7542077942812272,0.7044410413476263,0.7053977967345273
6,0.8685015290519877,0.8684411421287314,0.7901990811638591,0.7899859467996158
7,0.8746177370030581,0.8744296920740118,0.7702909647779479,0.7703303708565954
8,0.8720693170234455,0.8717520861466109,0.7656967840735069,0.7659450441391478
9,0.8980632008154944,0.8979879800596683,0.7565084226646248,0.7566372709170907
10,0.898572884811417,0.8985406384573696,0.7565084226646248,0.756732074334666
