epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.3312945973496432,0.33096804708158134,0.33843797856049007,0.3376325308388911
1,0.6248725790010193,0.6252828877778722,0.6263399693721287,0.6262304448455309
2,0.7573904179408767,0.7575632352882086,0.6600306278713629,0.65884960148851
3,0.8205912334352702,0.8210974602307843,0.7013782542113323,0.7003157157994324
4,0.854230377166157,0.8546838056420565,0.7182235834609495,0.7170793699054568
5,0.8720693170234455,0.8724247971793961,0.7166921898928025,0.714837839103279
6,0.8843017329255861,0.8845381269126855,0.7166921898928025,0.7155989032303646
7,0.8888888888888888,0.889102664144817,0.7136294027565084,0.7127999461426349
8,0.8960244648318043,0.8963558240960048,0.7228177641653905,0.7216412167455275
9,0.8955147808358818,0.8956991137376455,0.7120980091883614,0.7106613275912841
10,0.9021406727828746,0.9024091891187526,0.7120980091883614,0.7107132222264798
