epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.14322120285423037,0.1429695403813856,0.15773353751914243,0.15765094447431474
1,0.7813455657492355,0.7810629319218382,0.777947932618683,0.7766522034495559
2,0.8888888888888888,0.8885106331444611,0.8392036753445635,0.8388152716634554
3,0.9281345565749235,0.927865859353559,0.8621745788667687,0.8612683768643679
4,0.9373088685015291,0.9371176535294865,0.8683001531393568,0.8676818494887382
5,0.9225280326197758,0.9224741367805187,0.8545176110260337,0.85410033228861
6,0.928644240570846,0.9285787586942611,0.8346094946401225,0.8343433092226441
7,0.9220183486238532,0.9222080619315802,0.8147013782542113,0.8152094417692523
8,0.9235474006116208,0.9236567676408495,0.8009188361408882,0.8007425529504631
9,0.9322120285423038,0.9323728017148886,0.8085758039816233,0.8081091678281952
10,0.9306829765545361,0.930803501877341,0.8101071975497703,0.8093542471274648
