epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.21202854230377166,0.21176466285510406,0.1807044410413476,0.1800699108810752
1,0.855249745158002,0.8550244130109451,0.7702909647779479,0.7700640614116354
2,0.8817533129459735,0.8815690610873055,0.7611026033690659,0.7590077350613236
3,0.8720693170234455,0.8719972666517091,0.7687595712098009,0.7682941017362865
4,0.8888888888888888,0.8886890200221387,0.7611026033690659,0.7606842692639079
5,0.8792048929663608,0.8789737358636334,0.7565084226646248,0.7565949149689335
6,0.8878695208970439,0.8877916959123697,0.7427258805513017,0.74326833358579
7,0.8802242609582059,0.8801276725623193,0.7366003062787136,0.7366545114177633
8,0.8572884811416922,0.8574510908367255,0.7258805513016845,0.7260376022041952
9,0.8893985728848114,0.8892605601708773,0.7442572741194488,0.7443081850452151
10,0.8939857288481141,0.8940971684603436,0.7350689127105666,0.734907941914236
