epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.15086646279306828,0.1509612922244316,0.14854517611026033,0.14818305464540163
1,0.7319062181447502,0.7317298474222133,0.7166921898928025,0.7158359224095568
2,0.854230377166157,0.8540621131769066,0.7856049004594181,0.7859750833368262
3,0.882262996941896,0.8818647058746981,0.7549770290964778,0.7551762989176997
4,0.9276248725790011,0.9277002201079355,0.8284839203675345,0.8290104033837917
5,0.9332313965341489,0.9330543761182541,0.8147013782542113,0.8153025111397817
6,0.9199796126401631,0.9199955761962413,0.7993874425727412,0.8004032667410883
7,0.9209989806320081,0.9210803999790114,0.7641653905053599,0.766750162683385
8,0.9153924566768603,0.9153187919497885,0.7840735068912711,0.7851290487579239
9,0.9215086646279307,0.9214801435383911,0.8024502297090352,0.8032175416444826
10,0.9220183486238532,0.9220676796282818,0.8101071975497703,0.8106151976107328
