epoch,train_acc,train_f1,valid_acc,valid_f1
0,0.10091743119266056,0.10074162244791018,0.07503828483920368,0.07477864047469386
1,0.8628950050968399,0.8630908554253731,0.7611026033690659,0.7606322937201753
2,0.8883792048929664,0.8886498724552656,0.77947932618683,0.7798080389903246
3,0.8878695208970439,0.8876899020199082,0.7519142419601837,0.7512314834593201
4,0.9031600407747197,0.9032545911231,0.7595712098009189,0.7596284507867013
5,0.9041794087665648,0.9039815028162996,0.7656967840735069,0.7658684172649143
6,0.9021406727828746,0.9017431551452889,0.7611026033690659,0.7605494423474675
7,0.8944954128440367,0.8942079120925177,0.7687595712098009,0.7686097909725894
8,0.8965341488277269,0.8965161770043396,0.7442572741194488,0.7440792523301946
9,0.8960244648318043,0.896005327863786,0.7396630934150077,0.7391331980058433
10,0.8950050968399592,0.8949487126198334,0.7626339969372129,0.7619661642500564
